Type,QuestionText,CorrectAnswer,TextKeywords,Course add id from coures sheet,
MCQ,"What does OOP stand for?
a. Object-Oriented Programming
b. Operator Overloading Principle
c. Object Optimization Protocol
d. Object-Oriented Protocol",a,,1,1
MCQ,"In C#, which keyword is used to create an object of a class?
a. create
b. new
c. object
d. instance",b,,1,2
MCQ,"What is the concept of bundling data and methods that operate on that data into a single unit called?
a. Encapsulation
b. Abstraction
c. Inheritance
d. Polymorphism",a,,1,3
MCQ,"Inheritance allows a class to:
a. Access private members of another class
b. Acquire the properties and behaviors of another class
c. Override all methods of the base class
d. Hide the implementation details of a class",b,,1,4
MCQ,"Which access modifier restricts access to members within the same assembly?
a. public
b. private
c. internal
d. protected",c,,1,5
MCQ,"What is the purpose of the 'base' keyword in C#?
a. To access the base class constructor
b. To access the base class methods
c. To refer to the current class instance
d. To create a new instance of the base class",a,,1,6
MCQ,"Which of the following is a value type in C#?
a. String
b. Array
c. Struct
d. Class",c,,1,7
MCQ,"What is the primary purpose of the 'virtual' keyword in C#?
a. To create an instance of a class
b. To indicate that a method can be overridden in derived classes
c. To define a constant value
d. To allocate memory for an object","b
",,1,8
MCQ,"In C#, a class can implement multiple interfaces. (True/False)",TRUE,,1,9
MCQ,"What is the purpose of the 'abstract' keyword in C#?
a. To create an abstract class
b. To define an abstract method
c. To specify that a class cannot be instantiated
d. Both a and b",d,,1,10
MCQ,"What is the syntax for method overloading in C#?
a. Overload
b. new
c. override
d. None of the above","d
",,1,11
MCQ,"Which keyword is used to prevent a class from being inherited in C#?
a. sealed
b. static
c. final
d. restrict",a,,1,12
MCQ,"What is the purpose of the 'this' keyword in C#?
a. To refer to the current instance of the class
b. To create a new instance of the class
c. To access static members of the class
d. To initialize an object",a,,1,13
MCQ,"What is the role of the 'finally' block in a try-catch-finally statement?
a. To catch exceptions
b. To handle normal program flow, whether an exception occurs or not
c. To specify the type of exception to catch
d. To release resources, like closing a file or database connection",b,,1,14
MCQ,"What is the purpose of the 'sealed' keyword in C#?
a. To prevent a class from being instantiated
b. To prevent a method from being overridden
c. To prevent a class from being inherited
d. To make a class abstract",c,,1,15
MCQ,"What does the acronym SOLID stand for in the context of object-oriented design principles?
a. Single, Open, Liskov, Interface, Dependency
b. Single, Open, Layered, Inheritance, Dependency
c. Single, Open, Liskov, Interface, Dependency
d. Single, Open, Liskov, Interface, Dependency",d,,1,16
MCQ,"In C#, how is method hiding achieved in a derived class?
a. Using the 'new' keyword
b. Using the 'override' keyword
c. Automatically, without any keyword
d. Method hiding is not possible in C#",a,,1,17
MCQ,"Which of the following is not a valid C# access modifier?
a. public
b. internal
c. friend
d. private",c,,1,18
MCQ,"What is the purpose of the 'interface' keyword in C#?
a. To define a new class
b. To define a set of methods that must be implemented by a class
c. To create an instance of a class
d. To specify the accessibility of a class",b,,1,19
MCQ,"What is the default access modifier for members of an interface in C#?
a. public
b. private
c. internal
d. protected",a,,1,20
T/F,Inheritance in C# allows a class to inherit properties and methods from multiple parent classes.,FALSE,,1,21
T/F,Encapsulation in C# is a mechanism to restrict access to certain members of a class.,TRUE,,1,22
T/F,Polymorphism in C# allows a method to have multiple implementations with the same name.,TRUE,,1,23
T/F,Abstract classes in C# can be instantiated.,FALSE,,1,24
T/F,Interfaces in C# can include implementation details for methods.,FALSE,,1,25
T/F,C# supports both value types and reference types.,TRUE,,1,26
T/F,Overloading in C# allows multiple methods with the same name but different parameters.,TRUE,,1,27
T/F,"The ""sealed"" keyword in C# is used to prevent a class from being inherited.",TRUE,,1,28
T/F,"Access modifiers in C#, such as ""public"" and ""private,"" control the visibility of members within a class.",TRUE,,1,29
T/F,C# events are a way of implementing the observer design pattern.,TRUE,,1,30
MCQ," What does HTML stand for?

a. HyperText Markup Language
b. High-Level Text Manipulation Language
c. Hyperlink and Text Markup Language
d. Home Tool Markup Language",a,,2,31
MCQ," Which tag is used to create a hyperlink in HTML?

a. <link>
b. <href>
c. <a>
d. <hyper>
 ",c,,2,32
MCQ,"What is the correct HTML tag for inserting a line break?

a. <br>
b. <lb>
c. <break>
d. <newline>",a,,2,33
MCQ,"In HTML, what does the <img> tag stand for?

a. Image
b. Internet Media Graphics
c. Inline Media Graphics
d. Insert Media Graphics",a,,2,34
MCQ,"Which attribute is used to define inline styles in HTML?

a. style
b. class
c. font
d. inline", a,,2,35
MCQ,"How can you create an ordered list in HTML?

a. <ol>
b. <ul>
c. <list>
d. <order>",a,,2,36
MCQ,"Which HTML tag is used to define the structure of an HTML document, including the head and body sections?

a. <body>
b. <html>
c. <head>
d. <document>", b,,2,37
MCQ,"What is the purpose of the HTML <meta> tag?

a. To define a meta description
b. To include metadata about the document
c. To create a meta section
d. To define a meta keyword",b,,2,38
MCQ,"Which HTML tag is used to create a table?

a. <tbl>
b. <table>
c. <tr>
d. <tab>", b,,2,39
MCQ," What is the purpose of the HTML <form> tag?

a. To create a format
b. To define a formula
c. To create a form for user input
d. To format text",c,,2,40
MCQ," What does the HTML acronym CSS stand for?

a. Cascading Style Sheet
b. Computer Style Sheet
c. Colorful Style Sheet
d. Creative Style Sheet",a,,2,41
MCQ," Which HTML tag is used for creating an unordered list?

a. <ul>
b. <ol>
c. <li>
d. <list>", a,,2,42
MCQ,"What is the purpose of the HTML <head> tag?

a. To define the body of the HTML document
b. To define the header of the HTML document
c. To include external scripts and stylesheets
d. To create a heading",c,,2,43
MCQ," Which attribute is used to specify the source URL of an embedded image in HTML?

a. url
b. source
c. href
d. src",d,,2,44
MCQ," What does the HTML tag <em> represent?

a. Embedded
b. Emphasized text
c. End mark
d. Email",b,,2,45
MCQ,"What is the purpose of the HTML <div> tag?

a. To define a division or a section in an HTML document
b. To create a hyperlink
c. To define a variable
d. To display inline content",a,,2,46
MCQ," Which HTML tag is used to create a hyperlink to an email address?

a. <mailto>
b. <link>
c. <email>
d. <a>",d,,2,47
MCQ,"What is the purpose of the HTML <span> tag?

a. To define a block-level section
b. To create a hyperlink
c. To group inline elements and apply styles
d. To display a list",c,,2,48
MCQ," Which HTML tag is used for defining the navigation menu in a webpage?

a. <nav>
b. <menu>
c. <navbar>
d. <navigation>",a,,2,49
MCQ," In HTML, what does the <iframe> tag stand for?

a. Inline Frame
b. Internet Frame
c. Internal Frame
d. Inline Formatting",a,,2,50
MCQ," Which HTML tag is used for inserting a horizontal line?

a. <line>
b. <rule>
c. <hr>
d. <horizontal>",c,,2,51
MCQ,"What is the purpose of the HTML <blockquote> tag?

a. To create a block-level quote
b. To define a block of code
c. To create a block of text
d. To create a block-level hyperlink",a,,2,52
MCQ,"What is the purpose of the HTML <footer> tag?

a. To define a section's footer
b. To create a hyperlink
c. To define a section's header
d. To format text at the bottom of the page", a,,2,53
MCQ,"Which HTML tag is used to define the document's title in the browser?

a. <head>
b. <title>
c. <meta>
d. <document>", b,,2,54
T/F,HTML stands for HyperText Markup Language.,TRUE,,2,55
T/F,"The ""em"" element in HTML is used for emphasizing text.",TRUE,,2,56
T/F,"The ""head"" element in HTML contains the main content of the document.",FALSE,,2,57
T/F,"The ""alt"" attribute in the ""img"" element is used to provide alternative text for an image.",TRUE,,2,58
T/F,HTML comments can be visible on the webpage when viewed in a browser.,FALSE,,2,59
T/F,"The ""a"" element is used for creating hyperlinks in HTML.",TRUE,,2,60
T/F,"The ""ol"" element in HTML is used for creating an ordered list.",TRUE,,2,61
T/F,"HTML5 introduced a new ""nav"" element for navigation links.",TRUE,,2,62
T/F,"The ""span"" element in HTML is a block-level element.",FALSE,,2,63
T/F,HTML is primarily responsible for defining the visual appearance of a webpage.,FALSE,,2,64
MCQ,"What does CSS stand for?

a. Computer Style Sheet
b. Creative Style Sheet
c. Cascading Style Sheet
d. Colorful Style Sheet", c,,3,65
MCQ,"Which CSS property is used to change the text color of an element?

a. text-color
b. color
c. font-color
d. text-style", b,,3,66
MCQ," How can you include an external CSS file in an HTML document?

a. <style>
b. <link>
c. <css>
d. <script>",b,,3,67
MCQ,"What is the purpose of the CSS property padding?

a. It sets the space between elements
b. It sets the background color of an element
c. It sets the inner space between an element's content and its border
d. It sets the outer space around an element",c,,3,68
MCQ,"Which CSS selector is used to select all elements with a specific class?

a. #id
b. . (dot)
c. *
d. :",b,,3,69
MCQ," What is the purpose of the CSS property margin?

a. It sets the space between elements
b. It sets the background color of an element
c. It sets the inner space between an element's content and its border
d. It sets the outer space around an element",d,,3,70
MCQ,"Which CSS property is used to control the style of a list item marker (such as a bullet or number)?

a. list-style-type
b. list-marker-style
c. marker-style
d. marker-type",a,,3,71
MCQ,"What does the CSS property display: none; do?

a. It hides the element
b. It removes the element from the document flow
c. It makes the element visible
d. It changes the element's background color",b,,3,72
MCQ," Which CSS property is used to control the font size of text?

a. font-size
b. text-size
c. size
d. text-font",a,,3,73
MCQ,"What is the purpose of the CSS property float?

a. It aligns an element to the center
b. It makes an element float to the left or right
c. It changes the color of an element
d. It adds a shadow to an element",b,,3,74
MCQ," Which CSS selector is used to select an element based on its ID?

a. *
b. #id
c. . (dot)
d. :",b,,3,75
MCQ,"What is the purpose of the CSS property border-radius?

a. It sets the width of an element's border
b. It sets the radius of an element's corners
c. It sets the color of an element's border
d. It removes the border of an element",b,,3,76
MCQ," Which CSS property is used for adding shadows to text?

a. shadow
b. text-shadow
c. font-shadow
d. box-shadow",b,,3,77
MCQ,"What does the CSS property position: absolute; do?

a. It positions an element relative to its normal position
b. It makes an element invisible
c. It removes an element from the document flow
d. It centers an element",a,,3,78
MCQ," Which CSS property is used to control the background color of an element?

a. bgcolor
b. color-background
c. background-color
d. bg-color",c,,3,79
MCQ," What is the purpose of the CSS property opacity?

a. It controls the thickness of an element's border
b. It changes the color of an element
c. It controls the transparency of an element
d. It sets the width of an element",c,,3,80
MCQ," Which CSS property is used to create a 3D effect on an element's border?

a. border-3d
b. 3d-effect
c. box-shadow
d. border-shadow",c,,3,81
MCQ,"What is the purpose of the CSS property z-index?

a. It controls the font size of an element
b. It controls the transparency of an element
c. It controls the stacking order of elements
d. It sets the width of an element's border",c,,3,82
MCQ,"Which CSS property is used to change the style of the mouse cursor when it hovers over an element?

a. cursor-style
b. mouse-cursor
c. cursor
d. hover-cursor",c,,3,83
MCQ," What is the purpose of the CSS property text-align?

a. It controls the alignment of an element's text
b. It sets the width of an element
c. It changes the font of an element
d. It controls the spacing between lines of text",a,,3,84
T/F, The CSS property margin is used to set the outer space around an element.,TRUE,,3,85
T/F,The CSS property float is used to align an element to the center.,FALSE,,3,86
T/F, The selector #id is used to select elements based on their class.,FALSE,,3,87
T/F,The CSS property display: none; makes an element visible on the page.,FALSE,,3,88
T/F,The CSS property font-size is used to control the size of text.,TRUE,,3,89
T/F,The z-index property in CSS is used to control the stacking order of elements.,TRUE,,3,90
T/F,The selector . (dot) is used to select elements based on their ID.,FALSE,,3,91
T/F,The CSS property background-color is used to control the text color of an element.,FALSE,,3,92
T/F,The box-shadow property in CSS is used to add shadows to text.,FALSE,,3,93
T/F,The CSS property position: absolute; positions an element relative to its normal position.,TRUE,,3,94
T/F,CSS stands for Cascading Style Sheets.,TRUE,,3,95
T/F,"In CSS, the ""margin"" property is used to control the space inside an element.",FALSE,,3,96
T/F,"The ""box model"" in CSS consists of margin, border, padding, and content.",TRUE,,3,97
T/F,CSS Grid Layout is primarily used for styling typography on a webpage.,FALSE,,3,98
T/F,"The ""float"" property in CSS is used to create a horizontal scrollbar.",FALSE,,3,99
T/F,"The ""z-index"" property in CSS controls the stacking order of positioned elements.",TRUE,,3,100
T/F,"CSS Flexbox is designed for one-dimensional layout, either as a row or a column.",TRUE,,3,101
T/F,"The ""border-radius"" property is used to create rounded corners in CSS.",TRUE,,3,102
